          2   1.058e-06    3.43e-07    3.11e-07
          4     3.1e-07    3.26e-07    3.22e-07
          8    6.26e-07    4.91e-07    3.63e-07
         16   2.173e-06    7.96e-07    4.99e-07
         32   7.589e-06    2.47e-06    7.97e-07
         64  2.9752e-05   6.645e-06   1.556e-06
        128  7.1084e-05  1.8913e-05   1.827e-06
        256 0.000282751  7.5055e-05   3.827e-06
        512  0.00113221 0.000359799   7.695e-06
       1024  0.00452596  0.00142693  1.5855e-05
       2048   0.0168699  0.00562597  3.2144e-05
       4096   0.0678409   0.0227579  7.1494e-05
       8192     0.27226   0.0939227 0.000158357
