        0.5    0.894531    0.893567    0.893567    0.893567    0.893567    0.893567    0.893567
   0.015625  0.00390625   0.0235928   0.0235928   0.0235928   0.0235928   0.0235928   0.0235928
0.000488281     3.00391 0.000732049 0.000733558 0.000733558 0.000733558 0.000733558 0.000733558
1.52588e-05     3.00391 1.56313e-05 2.29202e-05 2.29201e-05 2.29201e-05 2.29201e-05 2.29201e-05
4.76837e-07     3.00391  0.00364648 7.13252e-07 7.16249e-07 7.16249e-07 7.16249e-07 7.16249e-07
1.49012e-08     3.00391  0.00416602 1.02305e-07 2.23827e-08 2.23828e-08 2.23828e-08 2.23828e-08
4.65661e-10     3.00391     3.00417 3.74532e-07  6.9604e-10 6.99462e-10 6.99462e-10 6.99462e-10
1.45519e-11     3.00391     3.00417 1.56333e-05 1.40696e-10 2.18581e-11 2.18582e-11 2.18582e-11
4.54747e-13     3.00391     3.00417  0.00364648 2.00334e-09 6.81071e-13 6.83068e-13 6.83068e-13
1.42109e-14     3.00391     3.00417  0.00416602 1.36114e-07 4.86885e-14  2.1346e-14 2.13459e-14
4.44089e-16     3.00391     3.00417     3.00417 3.74532e-07 2.45242e-12 6.71318e-16 6.67059e-16
1.38778e-17     3.00391     3.00417     3.00417 1.56333e-05 1.40696e-10 6.06948e-17 2.08455e-17
4.33681e-19     3.00391     3.00417     3.00417  0.00416602 2.00334e-09  6.0559e-15 6.50366e-19
